,boyname,boyfreq
1,Ethan/Aiden/Ayden/Hayden/Aidan/Edwin/Aden/Adan/Eden/Aydin/Aaden/Aydan/Aidyn,0.021703
2,Jackson/Jaxon,0.009736999999999999
3,Noah/Noe,0.009673000000000001
4,Liam,0.009025
5,Jacob/Jakob/Jacoby/Jaycob,0.008905999999999999
6,Mason/Mayson/Maison,0.008695
7,Jayden/Jaden/Jaiden,0.008302
8,William,0.008222
9,Kayden/Kaiden/Kaden/Caden/Cayden/Caiden/Kaeden,0.007897
10,Jace/Jase/Jayce/Jesse/Jasiah/Jessie/Jayse,0.007887
11,Michael/Micheal,0.007691000000000001
12,Alexander,0.007534999999999999
13,John/Jonah/Johnny/Jon,0.007412
14,James,0.007054
15,Elijah/Alijah,0.007044999999999999
16,Daniel,0.006813
17,Benjamin,0.006745999999999999
18,Lucas/Lukas,0.00674
19,Logan,0.006670999999999999
20,Luke/Luca/Luka/Lucca,0.006658
21,Matthew/Mathew,0.006618
22,Carter/Karter,0.006251
23,Gavin/Kevin/Gavyn,0.006226
24,Andrew/Andre,0.0060799999999999995
25,Joshua/Josue,0.005996
26,David,0.0059700000000000005
27,Josiah/Jose/Joziah,0.005968
28,Joseph,0.0059229999999999994
29,Caleb/Kaleb,0.005857
30,Anthony/Anton,0.005776
31,Christopher/Kristopher/Cristopher,0.005395
32,Samuel,0.005375
33,Gabriel,0.005337
34,Jack/Jake,0.0053349999999999995
35,Isaac/Issac/Hezekiah,0.005267000000000001
36,Easton/Weston/Ashton,0.005259999999999999
37,Dylan/Dilan,0.005221
38,Christian/Cristian/Kristian,0.004985
39,Wyatt/Wade/Eddie/Heath,0.004925
40,Evan/Ivan,0.004787
41,Nicholas/Nicolas/Nikolas/Nickolas,0.004724
42,Grayson/Greyson,0.004699999999999999
43,Oliver,0.004614
44,Henry,0.004611
45,Jeremiah/Jeremy,0.004589
46,Ryan/Rene,0.004581
47,Sebastian,0.004549
48,Jonathan/Johnathan,0.004543999999999999
49,Chase/Cash/Kash/Case/Casey/Kase/Chace,0.0044800000000000005
50,Owen,0.0044729999999999995
51,Eli/Ali/Willie/Will,0.004468000000000001
52,Nathan,0.004388
53,Hunter,0.004307
54,Cameron/Kameron,0.004081
55,Isaiah/Izaiah,0.004036
56,Landon,0.004021
57,Julian/Julien,0.003935
58,Levi,0.003935
59,Brayden/Braden/Braeden/Braiden,0.003927
60,Connor/Conor/Konnor,0.003888
61,Dominic/Dominick/Dominik,0.0038189999999999995
62,Aaron/Aron,0.0037700000000000003
63,Thomas/Tomas,0.003626
64,Sean/Zane/Shane/Shawn/Zayne/Zain/Zayn,0.003608
65,Charles,0.00359
66,Colton/Kolton,0.0034939999999999997
67,Jordan/Jordyn,0.003476
68,Adrian/Adrien,0.003409
69,Zachary/Zachariah/Zackary/Zechariah,0.003257999999999999
70,Robert,0.003246
71,Jason/Jayson,0.003103
72,Angel,0.003081
73,Austin,0.003081
74,Ian/Wayne/Ean,0.00291
75,Brandon,0.002855
76,Tyler,0.00285
77,Eric/Erick/Erik,0.0028309999999999997
78,Parker,0.002792
79,Carson/Karson,0.002764
80,Damian/Damien,0.002633
81,Miles/Myles,0.002614
82,Adam,0.002604
83,Camden/Kamden/Camdyn/Kamdyn,0.002587
84,Bryan/Brian,0.002568
85,Hudson,0.00256
86,Nolan,0.0025440000000000003
87,Micah/Mekhi/Makai/Mack/Makhi/Mike,0.0025310000000000003
88,Bentley/Bentlee,0.0025009999999999998
89,Blake,0.002416
90,Jaxson,0.0024100000000000002
91,Cooper,0.002367
92,Lincoln,0.002356
93,Elias/Ellis/Elisha,0.0023369999999999997
94,Nathaniel/Nathanael,0.002336
95,Xavier,0.002332
96,Tristan/Tristen/Tristian,0.0023030000000000004
97,Brody/Brodie,0.002294
98,Asher/Azariah,0.002243
99,Colin/Collin,0.002239
100,Mateo/Matteo,0.002238
101,Steven/Stephen/Stefan,0.0021999999999999997
102,Kyle/Gael/Kale,0.0021550000000000002
103,Emmett/Ahmed/Ahmad/Emmitt/Emmet,0.002097
104,Jude/Judah,0.00202
105,Ryder,0.0020050000000000003
106,Alan/Allen/Elian/Allan,0.0019760000000000003
107,Brantley/Brentley/Brantlee,0.001971
108,Justin,0.0019690000000000003
109,Diego/Thiago,0.001939
110,Leo,0.001939
111,Juan,0.001906
112,Luis,0.001906
113,Malachi/Malik/Malakai,0.001839
114,Vincent,0.001838
115,Giovanni/Giovani/Giovanny,0.0018379999999999998
116,Maxwell,0.001825
117,Cole/Kole,0.001814
118,Amir/Amari/Emery/Amare/Ameer,0.0017829999999999999
119,Bryson/Brayson,0.001775
120,Sawyer,0.001756
121,Emmanuel/Emanuel,0.001754
122,Kellan/Kellen/Callen/Killian/Kylan/Callan/Kylen,0.0017430000000000002
123,Jesus,0.001721
124,Reid/Reed/Rhett,0.001712
125,Max,0.001707
126,Roman,0.001695
127,Leonardo,0.001685
128,Santiago,0.001674
129,Carlos,0.0016719999999999999
130,Ezra,0.0016690000000000001
131,Elliot/Elliott,0.0016420000000000002
132,Bryce/Brice,0.0016400000000000002
133,Braxton,0.001638
134,Declan,0.001622
135,Silas/Sylas,0.001618
136,Kason/Cason/Kayson/Kyson/Cayson/Kaison,0.0016040000000000002
137,Jameson/Jamison,0.0016029999999999998
138,Theodore,0.001575
139,Harrison,0.0015660000000000001
140,Alex,0.0015550000000000002
141,Zayden/Zaiden,0.001554
142,Wesley,0.001534
143,Dean/Danny/Dane/Dwayne,0.0015079999999999998
144,Abraham/Ibrahim,0.0014789999999999998
145,Timothy,0.001471
146,George,0.001468
147,Marcus/Markus,0.001433
148,Antonio,0.0014140000000000001
149,Richard,0.001407
150,Axel,0.001368
151,Derek/Derrick,0.001363
152,Miguel,0.0013449999999999998
153,Cade/Kade/Keith/Chad,0.0013419999999999999
154,Preston,0.001333
155,Calvin/Kelvin,0.0013189999999999999
156,Riley/Rylee,0.001316
157,Victor,0.0013109999999999999
158,Ryker,0.001308
159,Patrick,0.001307
160,Joel,0.001302
161,Grant,0.001291
162,Alejandro,0.001271
163,Mark/Marc,0.001269
164,Kingston,0.001267
165,Edward,0.001263
166,Maddox,0.001258
167,Abel,0.0012519999999999999
168,Bennett,0.0012439999999999999
169,Everett,0.00124
170,Brady/Brett,0.001212
171,Corbin/Korbin,0.001208
172,King,0.00119
173,Tucker,0.001182
174,Kai,0.001176
175,Gunner/Gunnar,0.0011680000000000002
176,Ezekiel,0.001161
177,Tyson/Dawson,0.0011510000000000001
178,Bradley,0.0011359999999999999
179,Oscar,0.001135
180,Rylan/Raylan,0.001127
181,Avery,0.001115
182,Rowan/Rohan/Rowen,0.001102
183,Peyton/Payton,0.0010990000000000002
184,Finn/Ben/Van,0.001085
185,Javier/Jeffery,0.001052
186,Omar/Omari,0.00105
187,Kenneth,0.00105
188,Maximus,0.001044
189,Charlie/Carl,0.001039
190,Cody/Kody,0.001014
191,Graham,0.0009960000000000001
192,Devin/Davian/Davin,0.000993
193,Jayceon,0.000983
194,Paul,0.0009789999999999998
195,Gage,0.0009449999999999999
196,Philip/Phillip/Felipe,0.0009429999999999999
197,Peter,0.000938
198,Landen/Landyn,0.000936
199,Maverick,0.000918
200,Keegan/Keagan,0.0009170000000000001
201,Conner/Konner,0.000913
202,Tanner,0.000908
203,Jax,0.0009029999999999999
204,Jorge,0.0009029999999999999
205,Xander,0.0008960000000000001
206,Iker,0.000874
207,Kane/Kian/Cain/Kenny,0.000858
208,Jasper,0.0008550000000000001
209,Mohamed/Mohammed/Mohammad,0.000853
210,Seth/Zaid,0.000842
211,Andres,0.0008359999999999999
212,Rafael/Raphael,0.0008129999999999999
213,Drew/Trey,0.000809
214,Cohen/Coen/Kohen/Koen,0.0008079999999999999
215,Lorenzo,0.0008
216,Beau,0.000799
217,Simon,0.00079
218,Lane/Layne,0.00079
219,Francisco,0.000782
220,Jaylen/Jalen,0.00077
221,Garrett,0.0007639999999999999
222,August,0.000753
223,Israel,0.0007509999999999999
224,Griffin,0.0007509999999999999
225,Chance,0.000746
226,Beckett,0.000745
227,Zander,0.000743
228,Brooks,0.000743
229,Spencer,0.000741
230,Matias/Matthias/Mathias,0.000741
231,Waylon,0.000733
232,Rhys/Reece/Reese,0.000732
233,Gannon/Cannon/Kannon,0.0007289999999999999
234,Travis,0.000728
235,Emiliano,0.000723
236,Zion,0.000723
237,Ricardo,0.000715
238,Jaime/Jimmy/Jamie,0.0007070000000000001
239,Eduardo,0.000699
240,Paxton,0.000699
241,Martin,0.000699
242,Fernando,0.000686
243,Raymond,0.000685
244,Warren/Arian/Aryan,0.000678
245,Manuel,0.000675
246,Jeffrey,0.0006730000000000001
247,Felix,0.000672
248,Mario,0.000667
249,Dallas,0.000667
250,Ace/Asa,0.000665
251,Ronan/Ronin,0.000665
252,Clayton,0.000665
253,Kasen/Casen/Kaysen,0.0006640000000000001
254,Marshall/Marcel,0.000658
255,Skyler/Skylar,0.0006500000000000001
256,Trevor,0.000648
257,Troy,0.000647
258,Kyrie/Gary/Kyree,0.000643
259,Darren/Darian/Darwin/Darien,0.0006360000000000001
260,Cesar,0.000627
261,Emilio,0.0006259999999999999
262,Dillon/Talon,0.000624
263,Titus,0.0006230000000000001
264,Fabian/Vivaan,0.000621
265,Donovan,0.0006190000000000001
266,Andy,0.0006190000000000001
267,Brendan/Brenden,0.0006169999999999999
268,Knox,0.000608
269,River,0.000607
270,Kyler,0.0006
271,Louis,0.000599
272,Cruz,0.000597
273,Holden,0.000595
274,Frank/Frankie,0.000594
275,Hector,0.000593
276,Jared,0.0005809999999999999
277,Messiah,0.0005809999999999999
278,Archer,0.0005780000000000001
279,Edgar,0.000576
280,Alexis,0.0005740000000000001
281,Corey/Cory,0.00057
282,Anderson,0.0005679999999999999
283,Trenton,0.0005650000000000001
284,Arthur,0.000562
285,Sergio,0.000558
286,Marco,0.000551
287,Julius,0.000551
288,Milo,0.000545
289,Dalton,0.000544
290,Remington,0.000542
291,Gregory,0.000541
292,Dante,0.00054
293,Angelo,0.000538
294,Leonel/Lionel,0.000537
295,Finley/Finnley,0.000534
296,Nico/Niko,0.000528
297,Leon,0.0005269999999999999
298,Abram/Ephraim,0.000518
299,Emerson,0.000516
300,Joaquin,0.0005110000000000001
301,Walker,0.0005099999999999999
302,Desmond,0.000505
303,Ari/Harry,0.0005
304,Jett,0.000499
305,Colby/Kolby,0.000497
306,Kendrick,0.0004940000000000001
307,Walter,0.000481
308,Colt,0.000478
309,Romeo,0.00047300000000000006
310,Raiden/Rayden,0.00047100000000000006
311,Roberto,0.000471
312,Maximiliano,0.000469
313,Barrett,0.000468
314,Grady,0.00046699999999999997
315,Bodhi/Bode/Bodie,0.000462
316,Drake,0.00045999999999999996
317,Gideon,0.00045999999999999996
318,Major,0.000455
319,Phoenix,0.00044500000000000003
320,Colten/Kolten,0.000442
321,Pedro,0.00044100000000000004
322,Noel,0.000439
323,Ruben,0.000436
324,Dakota,0.000434
325,Nehemiah,0.000433
326,Khalil/Kalel,0.000432
327,Quinn,0.000429
328,Nash,0.000425
329,Alonzo/Alonso,0.000423
330,Jerry/Jair,0.000423
331,Porter,0.00041900000000000005
332,Joe/Joey,0.000419
333,Atticus,0.000417
334,Enzo,0.00041500000000000006
335,Jay,0.000413
336,Quentin/Quintin,0.00041000000000000005
337,Braylon,0.000407
338,Solomon,0.00040599999999999995
339,Orion,0.000401
340,Clark,0.000397
341,Ismael,0.000394
342,Brennan,0.000394
343,Tate,0.000393
344,Terrell/Dariel/Darrell,0.000391
345,Jensen,0.00038700000000000003
346,Ronald,0.000386
347,Esteban,0.000386
348,Dexter,0.00038500000000000003
349,Pablo,0.000384
350,Muhammad,0.00037799999999999997
351,Armando,0.00037799999999999997
352,Gerardo,0.000377
353,Bruce,0.000377
354,Marcos,0.000376
355,Brycen,0.000376
356,Flynn/Blaine,0.000375
357,Damon,0.000373
358,Braylen,0.000371
359,Jamari/Jamir,0.00037
360,Russell,0.00037
361,Prince,0.00036899999999999997
362,Milan,0.000368
363,Leland,0.000368
364,Enrique,0.000365
365,Brock,0.000365
366,Rory,0.000365
367,Bryant/Brent,0.000362
368,Tobias,0.000361
369,Donald,0.000361
370,Deacon,0.000359
371,Chandler,0.000357
372,Raul,0.00035499999999999996
373,Scott,0.00035299999999999996
374,Ty,0.000352
375,Taylor,0.000341
376,Hugo,0.00033999999999999997
377,Albert,0.00033999999999999997
378,Dustin,0.00033999999999999997
379,Ryland,0.000339
380,Terrance/Terrence,0.000339
381,Adriel,0.000339
382,Keaton,0.000339
383,Ayaan/Ayan,0.00033800000000000003
384,Salvador/Salvatore,0.00033499999999999996
385,Malcolm,0.000333
386,Maximilian,0.000327
387,Davis,0.00032599999999999996
388,Tony,0.000325
389,Saul,0.000324
390,Franklin,0.000322
391,Rocco,0.000321
392,Julio,0.000319
393,Arjun,0.00031800000000000003
394,Jaxton,0.00031600000000000004
395,Cyrus,0.00031099999999999997
396,Lawrence,0.00031099999999999997
397,Moises,0.00031
398,Sullivan,0.000309
399,Finnegan,0.000308
400,Terry/Tyree,0.000307
401,Pierce,0.000304
402,Alec,0.000304
403,Darius,0.0003
404,Royce,0.000295
405,Odin,0.000294
406,Crew/Grey,0.000294
407,Francis,0.00028900000000000003
408,Hassan/Ishaan,0.00028800000000000006
409,Daxton,0.000288
410,Gustavo,0.000286
411,Moses,0.000285
412,Lawson,0.00028199999999999997
413,Dennis,0.000281
414,Uriel,0.000281
415,Beckham,0.000281
416,Harvey,0.000281
417,Rodrigo,0.000281
418,Ray/Rey,0.00028
