,boyname,boyfreq
1,Ethan/Aiden/Ayden/Hayden/Aidan/Edwin/Adan/Eden/Aden/Aydin,0.016727
2,Liam,0.010284
3,Noah/Noe,0.00966
4,Jackson/Jaxon/Jaxxon,0.00949
5,William,0.007526000000000001
6,Lucas/Lukas,0.007370000000000001
7,Luke/Luca/Luka/Lucca,0.007065999999999999
8,James,0.007012000000000001
9,Elijah/Alijah,0.006986
10,Oliver,0.006940999999999999
11,Benjamin,0.0069370000000000005
12,Grayson/Greyson,0.006876999999999999
13,John/Jonah/Johnny/Jon,0.006769
14,Mason/Mayson/Maison,0.006709
15,Kayden/Kaiden/Kaden/Caden/Cayden/Caiden,0.006470999999999999
16,Jacob/Jakob/Jacoby,0.006414
17,Logan,0.006404000000000001
18,Easton/Weston/Ashton,0.006336999999999999
19,Alexander,0.006215999999999999
20,Michael,0.006024
21,Carter/Karter,0.0059819999999999995
22,Josiah/Jose/Joziah,0.005806
23,Daniel,0.0057929999999999995
24,Jayden/Jaden/Jaiden,0.005765
25,Henry,0.005521
26,Jace/Jayce/Jesse/Jase/Jasiah/Jesiah,0.005498
27,Wyatt/Wade/Eddie/Heath,0.005491
28,Matthew/Mathew,0.005391
29,Mateo/Matteo,0.005315
30,Jack/Jake,0.005291
31,Sebastian,0.005212
32,Samuel,0.005046
33,David,0.005027
34,Joseph,0.004954
35,Isaac/Issac/Hezekiah,0.004835
36,Owen,0.004815
37,Joshua/Josue,0.004678
38,Caleb/Kaleb,0.004580000000000001
39,Julian/Julien,0.004554
40,Dylan,0.004432
41,Andrew/Andre,0.004411
42,Levi,0.004376
43,Gabriel,0.004321
44,Anthony,0.004149
45,Christian/Cristian/Kristian,0.004130999999999999
46,Nicholas/Nicolas/Nikolas/Nickolas,0.003969
47,Eli/Ali/Will/Willie,0.0039310000000000005
48,Christopher/Kristopher,0.003926
49,Jeremiah/Jeremy,0.003897
50,Chase/Cash/Kash/Case/Casey/Kase/Kace,0.003862
51,Lincoln,0.0038200000000000005
52,Connor/Conor/Konnor,0.0037800000000000004
53,Evan/Ivan,0.00376
54,Zane/Sean/Zayn/Shane/Shawn/Zayne/Zain,0.0037530000000000003
55,Isaiah/Izaiah,0.0037099999999999998
56,Ryan/Rene,0.0036969999999999998
57,Thomas/Tomas,0.00369
58,Asher/Azariah,0.0036849999999999995
59,Theodore,0.003639
60,Elias/Ellis/Elisha/Wallace,0.0035640000000000003
61,Nathan,0.00352
62,Leo,0.003483
63,Charles,0.0034240000000000004
64,Gavin/Kevin,0.0034079999999999996
65,Carson/Karson,0.003402
66,Hudson,0.0033909999999999995
67,Jonathan/Johnathan,0.003389
68,Cameron/Kameron,0.003332
69,Aaron/Aron,0.003224
70,Hunter,0.003145
71,Miles/Myles,0.003136
72,Adrian/Adrien,0.003131
73,Colton/Kolton,0.003114
74,Ezra,0.003111
75,Landon,0.0030210000000000002
76,Dominic/Dominick/Dominik,0.003013
77,Nolan,0.002907
78,Robert,0.002665
79,Micah/Makai/Mekhi/Mack,0.002628
80,Angel,0.0026089999999999998
81,Maverick,0.0025989999999999997
82,Ian/Wayne,0.002579
83,Emmett/Ahmed/Emmitt/Ahmad,0.002569
84,Diego/Thiago,0.0025399999999999997
85,Jameson/Jamison,0.002535
86,Damian/Damien,0.002534
87,Brayden/Braden,0.0025169999999999997
88,Jaxson,0.002454
89,Amir/Amari/Emery/Ameer/Ahmir,0.0024289999999999997
90,Adam,0.002424
91,Austin,0.002411
92,Jordan,0.002409
93,Santiago,0.002409
94,Elliot/Elliott,0.0024070000000000003
95,Gael/Kyle,0.00238
96,Eric/Erick/Erik,0.0023250000000000002
97,Jason/Jayson,0.0023150000000000002
98,Jude/Judah,0.002313
99,Cooper,0.002302
100,Zachary/Zachariah/Zechariah,0.002299
101,Sawyer/Zyaire/Zahir,0.002277
