,boyname,boyfreq
176,Kade/Cade/Keith/Chad,0.0011380000000000001
177,Mark/Marc,0.0011350000000000002
178,Derek/Derrick,0.001134
179,Tucker,0.001124
180,Omar/Omari,0.001121
181,Charlie/Carl,0.0011129999999999998
182,Avery,0.0011099999999999999
183,Javier/Jeffery/Jabari,0.0011020000000000001
184,Graham,0.0010689999999999999
185,Jasper,0.001065
186,Kane/Kian/Cain/Kenny,0.001062
187,Gunner/Gunnar,0.0010600000000000002
188,Preston,0.001048
189,August,0.001041
190,Oscar,0.001036
191,Alejandro,0.00103
192,Lorenzo,0.0010140000000000001
193,Brady/Brett,0.001013
194,Messiah,0.001003
195,Zion,0.000998
196,River,0.000995
197,Maximus,0.000993
198,Brooks,0.000978
199,Jax/Jaxx,0.0009699999999999999
200,Paxton,0.000965
201,Corbin/Korbin,0.00095
202,Emiliano,0.000949
203,Rafael/Raphael,0.0009320000000000001
204,Walter/Wilder,0.000932
205,Ace/Asa,0.000923
206,Cody/Kody/Koda,0.0009189999999999999
207,Peter,0.000908
208,Kenneth,0.000892
209,Philip/Phillip/Felipe,0.0008900000000000001
210,Andres,0.0008880000000000001
211,Ronan/Ronin,0.0008879999999999999
212,Finley/Finnley,0.000871
213,Cohen/Kohen/Coen,0.000868
214,Milo,0.0008609999999999999
215,Paul,0.000857
216,Beckett,0.0008539999999999999
217,Rylan/Raylan,0.00085
218,Bradley,0.000834
219,Knox,0.0008289999999999999
220,Mohamed/Mohammad/Mohammed,0.000821
221,Barrett,0.000816
222,Israel,0.000807
223,Seth/Zaid/Zayd,0.0008049999999999999
224,Zander,0.000788
225,Jorge,0.000785
226,Lane/Layne,0.000776
227,Holden,0.0007740000000000001
228,Griffin,0.000771
229,Felix,0.000766
230,Leon,0.000766
231,Arthur,0.0007650000000000001
232,Remington,0.0007610000000000001
233,Warren/Aryan/Arian,0.000758
234,Clayton,0.000754
235,Adriel,0.000743
236,Riley,0.000743
237,Archer,0.0007379999999999999
238,Legend,0.000737
239,Bodhi/Bodie,0.0007300000000000001
240,Jaylen/Jalen,0.000727
241,Rhys/Reece/Reese,0.000726
242,Enzo,0.000723
243,Ari/Harry/Ira,0.0007130000000000001
244,Francisco,0.0007099999999999999
245,Emilio,0.0007059999999999999
246,Dallas,0.0007059999999999999
247,Jett/Jad,0.000699
248,Simon,0.000698
249,Kasen/Kaysen/Casen,0.0006959999999999999
250,Jaime/Jimmy/Jamie,0.0006919999999999999
251,Keegan/Keagan,0.000691
252,Leonel/Lionel,0.000689
253,Phoenix,0.000682
254,Chance,0.000678
255,Tobias,0.000675
256,Colt,0.000674
257,Tanner,0.0006730000000000001
258,Manuel,0.000672
259,Emerson,0.000668
260,Louis,0.000659
261,Iker,0.0006519999999999999
