,girlname,girlfreq
1,Sophia/Sofia/Sophie,0.015434
2,Emily/Amelia/Emilia/Emely/Emilee/Emelia/Amelie/Amalia/Emilie/Emmalee,0.013869000000000001
3,Ella/Ellie/Hailey/Allie/Ayla/Haley/Elle/Aleah/Willa/Haylee/Hayley/Hallie/Alia/Hailee/Ally/Halle,0.013362999999999998
4,Lily/Layla/Lilly/Lyla/Laila/Lila/Leila/Lilah/Lillie/Lylah/Lailah/Laylah/Leyla/Lilia,0.013290999999999999
5,Ava/Eva/Ivy/Abby/Eve/Evie/Avah,0.012891000000000001
6,Emma/Amy/Emmy/Amia/Amya/Aimee,0.012289
7,Eliana/Elena/Alina/Alaina/Alana/Alayna/Elaina/Elliana/Aylin/Helen/Aleena/Alanna/Aileen/Alani/Helena/Alena/Elianna/Elaine/Eileen/Ellen/Aliana/Alannah/Ayleen/Iliana/Elin,0.012057000000000002
8,Isabella/Isabelle/Isabel/Izabella/Isabela,0.011699
9,Kaylee/Kylie/Kayla/Callie/Cali/Kylee/Kali/Kyla/Kelly/Kailey/Kaylie/Kallie/Keyla/Kailee/Caylee/Kiley,0.011
10,Olivia/Olive,0.010735999999999999
11,Mia/Mya/Mae/Miah/Myah,0.009503
12,Hannah/Anna/Ana/Annie/Hanna/Anya/Anne/Hana/Ann,0.008438
13,Lillian/Liliana/Leilani/Lilliana/Lilian/Lilyana/Lilianna/Lillianna/Lilyanna,0.007367000000000001
14,Alice/Alyssa/Elise/Eliza/Alicia/Elisa/Elyse/Aliza/Alisha/Alissa/Ellis,0.007004000000000001
15,Adalynn/Adalyn/Adeline/Adelyn/Adelynn/Addilyn/Adaline/Adelina/Addilynn/Adilynn,0.006920000000000001
16,Zoey/Zoe/Zoie,0.006861000000000001
17,Abigail,0.006369
18,Madelyn/Madeline/Madeleine/Madilyn/Madelynn/Madilynn/Madalyn/Madalynn,0.006303
19,Aubrey/Aubree/Aubrie,0.006006
20,Ariana/Arianna/Erin/Irene/Aryanna/Aryana,0.005979
21,Madison/Maddison/Madyson,0.005893999999999999
22,Charlotte,0.005854
23,Evelyn/Evelynn/Evalyn/Avalynn/Avalyn,0.005644000000000001
24,Chloe/Khloe,0.005613999999999999
25,Natalie/Natalia/Nathalie/Nathaly/Nathalia/Nataly/Natalee,0.005594
26,Sarah/Sara/Zara/Sierra/Sarai/Zariah/Zahra/Ciara/Zaria/Sariah,0.0055769999999999995
27,Avery/Averie/Averi,0.005434
28,Harper,0.005288
29,Elizabeth/Elisabeth,0.005202
30,Grace/Gracie,0.004935
31,Maria/Mary/Mariah/Marie/Mira/Myra/Mara,0.004884999999999999
32,Riley/Rylee/Rylie,0.0047539999999999995
33,Aria/Arya/Ariah,0.004444999999999999
34,Aaliyah/Aliyah/Alayah/Alaia/Alaya/Aliya,0.004352999999999999
35,Camila/Camille/Kamila/Camilla,0.00434
36,Scarlett/Scarlet/Scarlette,0.004295000000000001
37,Claire/Clara/Clare,0.004254
38,Allison/Alison/Allyson/Alyson/Alisson/Ellison,0.004224
39,Brooklyn/Brooklynn,0.004212
40,Mila/Malia/Myla/Millie/Maleah/Maliah,0.004131
41,Bella/Bailey/Baylee/Bailee,0.004103
42,Nora/Norah/Noor,0.003916
43,Victoria,0.003908
44,Gabriella/Gabrielle/Gabriela,0.0038439999999999998
45,Addison/Addyson,0.003818
46,Alexa/Alexia,0.0036299999999999995
47,Leah/Lia/Lea,0.003591
48,Melanie/Melany/Melina/Milani/Milana/Milan/Milena/Milania/Meilani,0.0035530000000000006
49,Charlie/Charlee/Carly/Karla/Charley/Charli/Karlee/Carlee/Karlie/Carla,0.00346
50,Brianna/Brynn/Briana/Breanna/Bryanna/Brenna,0.003391
51,Skylar/Skyler,0.003287
52,Lucy/Lucia/Luz,0.0032260000000000006
53,Eden/Athena/Hayden/Aitana,0.003144
54,Paisley/Paislee,0.0031269999999999996
55,Savannah/Savanna,0.0031249999999999997
56,Makayla/Michelle/Mikayla/Michaela/Mikaela,0.003099
57,Peyton/Payton,0.0030869999999999995
58,Gianna/Jane/Jenna/Giana/Jenny,0.003064
59,Penelope,0.0030559999999999997
60,Ashley/Isla,0.0029259999999999998
61,Audrey,0.002878
62,Keira/Kira/Kiara/Kyra/Kara/Kiera/Cara/Kairi,0.002828
63,Caroline/Carolina/Carolyn,0.002792
64,Emery/Amira/Amara/Amari/Amirah/Emerie,0.002786
65,Mackenzie/Makenzie,0.002776
66,Vivian/Vivienne/Viviana,0.002761
67,Kennedy/Kennedi,0.002756
68,Samantha,0.0027429999999999998
69,Annabelle/Annabella/Annabel/Anabelle/Anabella,0.0027
70,Katherine/Catherine,0.0026950000000000003
71,Brielle/Briella/Brylee/Braylee/Briley,0.002552
72,Maya/Maia/Miya,0.00255
73,Jade/Jada/Jayda/Jayde/Jaida,0.002515
74,Hazel/Azalea,0.0024760000000000003
75,Violet,0.002472
76,Stella,0.002461
77,Ariel/Arielle/Ariella/Arely/Yareli,0.0024449999999999997
78,Sadie,0.002441
79,Jasmine/Jazmin/Jazmine/Jasmin,0.002337
80,Alexandra/Alexandria,0.002329
81,Eleanor,0.002277
82,Lena/Lana/Liana/Lainey/Laney/Leanna/Lina,0.0022350000000000004
83,Cora/Kora/Kori,0.0022109999999999994
84,Reagan/Raegan,0.002168
85,Genesis,0.002137
86,Piper,0.002121
87,Autumn,0.002113
88,Julia/Julie,0.002087
89,Nevaeh,0.002055
90,Serenity,0.0020469999999999998
91,Juliana/Julianna/Julianne,0.002013
92,Jordyn/Jordan/Jordynn,0.002003
93,Valeria/Valerie,0.001979
94,Naomi,0.0019320000000000001
95,Daniela/Danielle/Daniella,0.001924
96,Taylor,0.001924
97,Hadley/Hadlee/Adley,0.001877
98,Aurora,0.001871
99,Faith/Veda,0.0018559999999999998
100,Kinsley/Kensley/Kinslee,0.001848
101,Jayleen/Jillian/Jaelynn/Jaelyn/Jaylene/Jaylynn/Jaylin,0.0018139999999999996
102,Lydia,0.001797
103,Ruby,0.001778
104,Alexis,0.001756
105,Daisy/Tessa,0.0017079999999999999
106,Lauren/Lauryn,0.0017010000000000003
107,Kaitlyn/Caitlyn/Caitlin/Kathleen/Kaitlynn,0.0016649999999999998
108,Haven/Heaven/Ivanna/Aviana/Avianna,0.0016499999999999998
109,Katelyn/Catalina/Katelynn/Katalina,0.001634
110,Maci/Macy/Macie/Maisie,0.0016289999999999998
111,Adriana/Adrianna/Adrienne,0.001622
112,Juliette/Juliet/Julieta,0.00162
113,Jocelyn/Joselyn/Jocelynn,0.0016099999999999999
114,Quinn,0.0015869999999999999
115,Raelynn/Raelyn/Rylan,0.001581
116,Aniyah/Anaya/Aniya/Anahi,0.001568
117,Amaya/Amiyah/Amiya,0.001538
118,London,0.001497
119,Kimberly,0.001458
120,Kaelyn/Kaylin/Kailyn/Kaylynn/Kalani/Kailani/Kaelynn,0.001448
121,Willow,0.00144
122,Luna,0.001439
123,Ryan/Wren/Reyna/Rayna/Ryann/Raina/Reina,0.001433
124,Rose/Rosa/Rosie,0.0014190000000000001
125,Valentina,0.001411
126,Delilah,0.001403
127,Andrea,0.00139
128,Morgan,0.001379
129,Sydney,0.001366
130,Angela/Angel,0.001339
131,Ximena,0.001336
132,Heidi/Ada/Hattie,0.0013
133,Kate/Katie,0.0013
134,Molly/Mollie,0.001297
135,Trinity,0.0012900000000000001
136,Diana/Danna/Tiana/Dana,0.0012840000000000002
137,Josephine,0.001284
138,Kendall/Kyndall,0.0012749999999999999
139,Cadence/Kaydence/Kadence,0.0012560000000000002
140,Jayla/Jaylah/Jaylee,0.001249
141,Cecilia/Cecelia,0.0012070000000000002
142,Amina/Imani/Amani/Aminah,0.001199
143,Everly,0.001196
144,Rebecca/Rebekah,0.001193
145,Paige,0.001176
146,Kinley/Kynlee/Kenley,0.001167
147,Angelina/Angeline,0.001158
148,Talia/Dahlia/Thalia,0.001157
149,Gemma/Jamie/Jemma,0.001139
150,Miriam/Mariam/Maryam,0.001124
151,Marley/Marlee,0.0011229999999999999
152,Melody,0.001117
153,Brooke,0.001103
154,Delaney/Dylan,0.0010999999999999998
155,Mckenzie,0.0010949999999999998
156,Ashlyn/Ashlynn/Aislinn,0.001094
157,Nicole,0.001085
158,Margaret,0.0010810000000000001
159,Brynlee/Brinley,0.001079
160,Kenna/Gwen/Kenia/Chana/Kenya/Kiana,0.001068
161,Harmony/Harmoni,0.001047
162,Christina/Kristina/Christine/Kristen,0.001039
163,Londyn,0.001038
164,Journey/Journee,0.001037
165,Nyla/Nylah/Nala,0.0010309999999999998
166,Melissa/Malaysia,0.00103
167,Chelsea/Kelsey,0.0010299999999999999
168,Makenna/Megan,0.00101
169,Daleyza/Dallas,0.000999
170,Rachel,0.00099
171,Cassidy/Kassidy,0.000986
172,Sienna/Siena,0.000968
173,Amber/Ember,0.0009629999999999999
174,Kayleigh/Kyleigh,0.000956
175,Reese,0.0009539999999999999
176,Mariana/Marina/Marianna,0.000949
177,Emerson,0.0009199999999999999
178,Genevieve,0.0009109999999999999
179,Gracelyn/Gracelynn,0.0009040000000000001
180,Emmalyn/Emmalynn/Emmeline/Emmaline,0.0008969999999999999
181,Kamryn/Camryn,0.000889
182,Shelby/Sylvia,0.0008889999999999999
183,Vanessa,0.0008869999999999999
184,Presley,0.0008869999999999999
185,Teagan/Tegan,0.000886
186,Destiny,0.0008849999999999999
187,Kaia/Chaya/Kaya/Kaiya,0.000884
188,Summer,0.000863
189,Arabella,0.0008619999999999999
190,Ryleigh,0.000851
191,Joanna/Johanna,0.0008420000000000001
192,Selah/Shayla/Celia/Zaylee,0.0008419999999999999
193,Esther,0.0008320000000000001
194,Finley,0.0008230000000000001
195,Jessica,0.0008150000000000001
196,Stephanie,0.0008
197,Nova,0.0007830000000000001
198,Alivia,0.00078
199,Anastasia,0.000772
200,Elsie/Elsa,0.0007719999999999999
201,Iris,0.000771
202,Fiona,0.000766
203,Giselle,0.000763
204,Jessa/Jessie/Jaycee,0.000762
205,Harley/Harlee,0.00075
206,Lexi/Lexie,0.000747
207,Lola,0.0007469999999999999
208,Hope,0.000742
209,Parker,0.000741
210,Georgia,0.000737
211,Ainsley/Ansley,0.000735
212,Vera/Farrah,0.000725
213,Sloane/Sloan,0.0007210000000000001
214,Braelynn/Braelyn,0.0007
215,Selena/Celine,0.0006940000000000001
216,Maggie,0.000685
217,Dakota,0.000684
218,Karina/Karen,0.000676
219,Mckenna,0.000668
220,Josie,0.000663
221,Sage/Saige,0.000659
222,Jennifer,0.000659
223,Noelle,0.0006580000000000001
224,Eloise,0.0006490000000000001
225,Jacqueline,0.0006320000000000001
226,Skye/Sky,0.000627
227,Evangeline,0.000627
228,Sawyer,0.0006259999999999999
229,Paris,0.0006230000000000001
230,Rosalie,0.000611
231,Adelaide,0.000596
232,Lorelei/Lorelai,0.0005870000000000001
233,Kenzie,0.000587
234,Alessandra,0.000584
235,Miranda,0.000583
236,June,0.0005809999999999999
237,Lucille,0.000575
238,Phoebe,0.0005740000000000001
239,Maliyah/Malaya,0.000574
240,Lyric,0.000571
241,Ruth,0.000567
242,Bethany/Paityn,0.000566
243,Yaretzi/Yaritza,0.000564
244,Nina,0.000553
245,April/Abril,0.000553
246,Annika/Anika,0.000546
247,Liv/Livia/Libby,0.000542
248,Lacey/Lisa,0.0005380000000000001
249,Fatima,0.000535
250,Amanda,0.000525
251,Kathryn,0.000522
252,Laura,0.000518
253,Jazlyn/Jazlynn,0.000512
254,Carter/Karter,0.000508
255,Cassandra/Kassandra,0.0005070000000000001
256,Rowan,0.0005059999999999999
257,Remi/Remy,0.000496
258,Kendra,0.0004940000000000001
259,Zariyah/Sarahi/Sariyah,0.0004890000000000001
260,Aisha/Asia,0.00048800000000000004
261,Nadia,0.000488
262,Cheyenne,0.000488
263,River,0.00048600000000000005
264,Alondra,0.00048600000000000005
265,Winter/Wynter,0.000476
266,Sabrina,0.00047400000000000003
267,Blakely,0.000472
268,Felicity,0.00046699999999999997
269,Pearl/Perla,0.000464
270,Veronica,0.000458
271,Ariyah/Ariya,0.00045700000000000005
272,Beatrice/Patricia,0.000457
273,Esmeralda,0.000453
274,Frances/Princess,0.00045199999999999993
275,Leslie,0.00045099999999999996
276,Gia,0.00045
277,Aspen,0.00045
278,Elliot/Elliott,0.000449
279,Daphne,0.00044400000000000006
280,Mckinley,0.00044100000000000004
281,Bianca,0.00044
282,Carmen,0.00044
283,Janiyah/Janiya,0.000437
284,Mallory,0.000429
285,Logan,0.00042800000000000005
286,Emersyn,0.00042699999999999997
287,Erica/Erika,0.00041400000000000003
288,Lindsey/Lindsay,0.000412
289,Gwendolyn,0.00040599999999999995
290,Annalise,0.000401
291,Tatum,0.000401
292,Serena,0.0004
293,Miracle,0.000397
294,Freya,0.000394
295,Leia,0.000392
296,Harlow,0.000389
297,Blake,0.000386
298,Angelica,0.00038500000000000003
299,Marilyn,0.000384
300,Francesca,0.00038199999999999996
301,Juniper,0.000381
302,Joy,0.000375
303,Cataleya,0.000371
304,Zuri,0.000367
305,Nia,0.000367
306,Tenley/Tinley,0.000362
307,Bristol,0.000362
308,Alejandra,0.000361
309,Maeve,0.000361
310,Justice,0.00036
311,Phoenix,0.000357
312,Jimena,0.000356
313,Nayeli,0.00035499999999999996
314,Brittany,0.00035299999999999996
315,Thea,0.00035299999999999996
316,Luciana,0.00035099999999999997
317,Giuliana,0.00035099999999999997
318,Leighton,0.000349
319,Janelle,0.000349
320,Madisyn,0.00034700000000000003
321,Penny/Vienna,0.000344
322,Estelle/Estella,0.000338
323,Raven,0.000336
324,Itzel,0.000335
325,Holly,0.000335
326,Tiffany,0.000333
327,Aubrielle/Aubriella,0.00032900000000000003
328,Celeste,0.000328
329,Priscilla,0.000325
330,Analia/Annalee,0.000324
331,Zaniyah/Saniyah,0.000323
332,Lara/Lyra,0.00031899999999999995
333,Azariah/Azaria,0.00031499999999999996
334,Rosemary,0.000312
335,Lennon,0.00031099999999999997
336,Regina,0.00031099999999999997
337,Gloria,0.000307
338,Virginia,0.000307
339,Edith,0.000307
340,Colette,0.000307
341,Charleigh,0.000305
342,Andi/Wendy,0.00030199999999999997
343,Cameron,0.000301
344,Bridget,0.000299
345,Matilda,0.000299
346,Marissa,0.000298
347,Cynthia,0.000297
348,Sasha,0.000296
349,Kaliyah,0.000296
350,Julissa,0.00029
351,Liberty,0.000288
352,Skyla,0.000288
353,Crystal,0.00028700000000000004
354,Henley,0.00028700000000000004
355,Monica,0.000286
356,Fernanda,0.000283
357,Angelique,0.000278
358,Greta,0.00027400000000000005
359,Mabel,0.000272
360,Coraline,0.000271
361,Dayana,0.000268
362,Addisyn,0.000266
363,Jaliyah,0.000266
364,Lilith,0.000263
365,Angie,0.000262
366,Meredith,0.000261
367,Margot,0.000259
368,Guadalupe,0.000259
369,Demi,0.000251
370,Shiloh,0.00024900000000000004
371,Blair,0.00024900000000000004
372,Saylor,0.000246
373,Everleigh,0.000244
374,Oakley,0.000242
375,Remington,0.00023700000000000001
376,Emory,0.000234
377,Karsyn,0.00023199999999999997
378,Kimber,0.00023199999999999997
379,Samara,0.000231
380,Magnolia,0.000231
381,Renata,0.00022999999999999998
382,Galilea,0.00022999999999999998
383,Whitney,0.000229
384,Zelda,0.00022799999999999999
385,Tatiana,0.00022799999999999999
386,Adele,0.000227
387,Jayden,0.000227
388,Bria,0.000227
389,Montserrat,0.000226
390,Dulce,0.000221
391,Armani,0.000221
392,Linda,0.00022
393,Teresa,0.00022
394,Natasha,0.000218
395,Meadow,0.000217
396,Sutton,0.000217
397,Esme,0.000215
398,Rory,0.000215
399,Leona,0.00021400000000000002
400,Alma,0.000213
401,Chanel,0.000212
402,Audrina,0.00021099999999999998
403,Clarissa,0.00020899999999999998
404,Hadassah,0.00020800000000000001
405,Collins,0.00020800000000000001
406,Danica,0.000206
407,Dorothy,0.000204
408,Monroe,0.00020299999999999997
409,Janessa,0.00020299999999999997
410,Ivory,0.000202
411,Corinne,0.000198
412,Paola,0.000197
413,Jolene,0.000197
414,Roselyn,0.000197
415,Lennox,0.000195
416,Claudia,0.000194
417,Royal,0.000194
418,Raquel,0.000193
419,Jolie,0.000192
420,Courtney,0.000192
421,Mina,0.00018999999999999998
422,Noa,0.00018999999999999998
423,Laurel,0.00018899999999999999
424,Nola,0.00018899999999999999
425,Ariadne,0.000188
426,Monserrat,0.000188
427,Noemi,0.00018600000000000002
428,Naya,0.000185
429,Martha,0.000184
430,Hunter,0.000183
431,Amaris,0.000183
432,Zendaya,0.000182
433,Estrella,0.000182
434,Taliyah,0.000182
435,Marjorie,0.000181
436,Aurelia,0.00018
437,Salma,0.00018
438,Deborah,0.00017900000000000001
439,Brenda,0.00017900000000000001
440,Desiree,0.00017900000000000001
441,Giovanna,0.000177
442,Casey,0.000176
443,Clementine,0.000176
444,Tori,0.000176
445,Nancy,0.000176
446,Simone,0.000175
447,Khaleesi,0.000175
448,Aiyana,0.000173
449,Sandra,0.000173
450,Briar,0.000172
451,Lizbeth,0.000172
452,Micah,0.000172
453,Marisol,0.000172
454,Joyce,0.000171
455,Holland,0.000171
456,Yamileth,0.000168
457,Frida,0.000167
458,Rivka,0.000166
459,Barbara,0.000166
460,Romina,0.000166
461,Bonnie,0.000165
462,Joslyn,0.000165
463,Bryleigh,0.000164
464,Kayden,0.000161
465,Paulina,0.000161
466,Jewel,0.00016
467,Astrid,0.00016
468,Paula,0.00015900000000000002
469,Kai,0.00015900000000000002
470,Aya,0.00015800000000000002
471,Zion,0.00015800000000000002
472,Marleigh,0.000157
473,Paloma,0.000157
474,Louisa,0.000156
475,Dalary,0.000155
476,Tara,0.000155
477,Arden,0.000154
478,Landry,0.000153
479,Esperanza,0.000153
480,Susan,0.000152
481,Belen,0.000152
482,Faye,0.00015
483,Judith,0.00015
484,Yasmin,0.000149
485,Aranza,0.000148
486,Zainab,0.000148
487,Cherish,0.000148
488,Tabitha,0.000147
489,Neriah,0.000147
490,Cordelia,0.000147
491,Dixie,0.000147
492,Hadleigh,0.000146
493,Elora,0.000145
494,Kimora,0.000145
495,Ingrid,0.000145
496,America,0.000145
497,Heavenly,0.000144
498,Heather,0.000144
499,Moriah,0.000143
500,Kensington,0.000143
501,Charlize,0.00014199999999999998
502,Ophelia,0.00014199999999999998
503,Mariyah,0.00014199999999999998
504,Stevie,0.00014199999999999998
505,Sharon,0.00014099999999999998
506,Taya,0.00014099999999999998
507,Ireland,0.00014
508,Giavanna,0.00014
509,Frankie,0.000139
510,Denise,0.000139
511,Aubrianna,0.000139
512,Rhea,0.000139
513,Mattie,0.000138
