,boyname,boyfreq
1,Ethan/Aiden/Ayden/Hayden/Aidan/Edwin/Adan/Aden/Eden/Aydin,0.019052
2,Noah/Noe,0.009659
3,Jackson/Jaxon,0.009601
4,Liam,0.009017
5,Mason/Maison/Mayson,0.007827
6,William,0.007801000000000001
7,Jacob/Jakob/Jacoby,0.007580999999999999
8,James,0.0073560000000000006
9,Benjamin,0.007245999999999999
10,Lucas/Lukas,0.0072429999999999994
11,Michael/Micheal/Mikael,0.007198
12,Elijah/Alijah,0.00717
13,John/Jonah/Johnny/Jon,0.007011000000000001
14,Luke/Luca/Luka/Lucca,0.006801000000000001
15,Kayden/Kaiden/Kaden/Caden/Cayden/Caiden,0.006730999999999999
16,Alexander,0.0066359999999999995
17,Matthew/Mathew,0.0065249999999999996
18,Jayden/Jaden/Jaiden,0.006500000000000001
19,Oliver,0.006453
20,Grayson/Greyson,0.006429
21,Daniel,0.0064069999999999995
22,Jace/Jayce/Jesse/Jase/Jasiah/Jessie,0.006321999999999999
23,Josiah/Jose/Joziah,0.0061660000000000005
24,Carter/Karter,0.006089
25,Easton/Weston/Ashton,0.006004000000000001
26,Logan,0.005565
27,David,0.005499
28,Wyatt/Wade/Eddie/Heath,0.005444
29,Joseph,0.005404
30,Andrew/Andre,0.005337999999999999
31,Samuel,0.005235
32,Isaac/Issac/Hezekiah,0.005226000000000001
33,Joshua/Josue,0.005223
34,Henry,0.005135
35,Owen,0.005095000000000001
36,Sebastian,0.005091
37,Gabriel,0.005063000000000001
38,Caleb/Kaleb,0.005056
39,Anthony/Anton,0.004984000000000001
40,Jack/Jake,0.004947
41,Dylan,0.004797999999999999
42,Gavin/Kevin,0.004691
43,Christopher/Kristopher,0.004659
44,Christian/Cristian/Kristian,0.004554
45,Mateo/Matteo,0.004421
46,Julian/Julien,0.004362
47,Evan/Ivan,0.004337000000000001
48,Eli/Ali/Willie/Will,0.004333
49,Jeremiah/Jeremy,0.004311
50,Nicholas/Nicolas/Nikolas/Nickolas,0.004266
51,Chase/Cash/Kash/Case/Casey/Kase,0.004227000000000001
52,Ryan/Rene,0.0042
53,Connor/Conor/Konnor,0.004129
54,Levi/Leif,0.004103
55,Cameron/Kameron,0.0041010000000000005
56,Isaiah/Izaiah,0.003977
57,Nathan,0.00395
58,Jonathan/Johnathan,0.003948
59,Thomas/Tomas,0.0038069999999999996
60,Hunter,0.0037869999999999996
61,Aaron/Aron,0.003701
62,Zane/Sean/Shane/Shawn/Zayn/Zayne/Zain,0.003634
63,Lincoln,0.003522
64,Charles,0.003518
65,Landon,0.003479
66,Dominic/Dominick/Dominik,0.003359
67,Adrian/Adrien,0.003257
68,Brayden/Braden/Braiden,0.003244
69,Colton/Kolton,0.0030800000000000003
70,Hudson,0.003029
71,Carson/Karson,0.0029779999999999997
72,Robert,0.002964
73,Zachary/Zachariah/Zechariah/Zackary,0.002918
74,Asher/Azariah,0.0028710000000000003
75,Elias/Ellis/Elisha,0.00286
76,Jordan,0.002788
77,Nolan,0.002785
78,Angel,0.002744
79,Jason/Jayson,0.0027199999999999998
80,Eric/Erick/Erik,0.002703
81,Miles/Myles,0.002689
82,Ian/Wayne,0.002672
83,Austin,0.002649
84,Leo,0.002617
85,Adam,0.002574
86,Cooper,0.00246
87,Theodore,0.002425
88,Jaxson,0.002424
89,Emmett/Ahmed/Emmitt/Ahmad/Emmet,0.0024239999999999995
90,Ezra,0.002408
91,Amir/Amari/Emery/Ameer/Ahmir/Amare,0.0023980000000000004
92,Parker,0.002334
93,Micah/Mekhi/Makai/Mack,0.002318
94,Camden/Kamden/Kamdyn/Camdyn,0.0023
95,Damian/Damien,0.0022970000000000004
96,Xavier,0.0022760000000000002
97,Bryson/Brayson,0.0022600000000000003
98,Diego/Thiago,0.002259
99,Tyler,0.002226
100,Sawyer/Zyaire,0.0022199999999999998
101,Bentley/Bentlee,0.002142
102,Elliot/Elliott,0.002142
103,Leonardo,0.002139
104,Nathaniel/Nathanael,0.002128
105,Alan/Allen/Elian/Allan,0.002127
106,Tristan/Tristen/Tristian,0.0021149999999999997
107,Gael/Kyle,0.0021139999999999996
108,Roman,0.002084
109,Jude/Judah,0.002073
110,Malachi/Malik/Malakai,0.002072
111,Rhett/Reid/Reed,0.002041
112,Bryan/Brian,0.0020299999999999997
113,Brandon,0.0020239999999999998
