,girlname,girlfreq
115,Rose/Rosa/Rosie,0.0015609999999999999
116,Delilah,0.001531
117,Josephine,0.0014939999999999999
118,Maci/Macie/Maisie/Macy,0.001487
119,Aniyah/Anaya/Anahi/Aniya,0.0014589999999999998
120,Jordyn/Jordan,0.001448
121,Taylor,0.001434
122,Diana/Danna/Tiana/Dana,0.00142
123,Ximena,0.00135
124,Lauren/Lauryn,0.0013349999999999998
125,Adriana/Adrianna/Adrienne,0.0013340000000000001
126,Catalina/Katelyn/Katalina,0.0012980000000000001
127,Amina/Imani/Amani/Aminah,0.001282
128,Brynlee/Brinley,0.001281
129,Cecilia/Cecelia,0.0012699999999999999
130,Journee/Journey,0.001258
131,Miriam/Maryam/Mariam,0.001248
132,Mariana/Maren/Marina/Marianna,0.001233
133,Andrea,0.001232
134,Jayleen/Jillian/Jaelyn/Jaelynn/Jaylene,0.001213
135,Angela/Angel,0.001204
136,Margaret,0.0011970000000000001
137,Gemma/Jamie/Jemma,0.0011860000000000002
138,Talia/Dahlia/Thalia,0.001159
139,Jocelyn/Joselyn,0.001152
140,Selena/Celine/Selene,0.001148
141,Delaney/Dylan,0.0011450000000000002
142,Nyla/Nylah/Nala,0.001142
143,Jayla/Jaylah/Jaylee,0.00114
144,Marley/Marlee,0.001121
145,Melody,0.001094
146,Alexis,0.001091
147,Sydney,0.001068
148,Kenia/Kenna/Chana/Gwen/Kiana/Kenya,0.001063
149,Harley/Harlee,0.001062
150,Teagan/Tegan,0.00106
151,Iris,0.001053
152,Harmony/Harmoni,0.0010509999999999999
153,Emerson,0.001047
154,London,0.001044
155,Kaia/Chaya/Kaya/Kaiya,0.001042
156,Kate/Katie,0.001031
157,Kinley/Kynlee/Kenley,0.00103
158,Rebecca/Rebekah,0.0010220000000000001
159,Morgan,0.0010199999999999999
160,Joanna/Johanna,0.0010119999999999999
161,Sloane/Sloan,0.001011
162,Ember/Amber,0.001007
163,Arabella,0.000999
164,Finley,0.000989
165,Sienna/Siena,0.0009850000000000002
166,Trinity,0.000985
167,Ryleigh,0.000983
168,Kimberly,0.000973
169,Esther,0.0009710000000000001
170,Molly,0.0009689999999999999
171,Melissa/Malaysia,0.0009680000000000001
172,Daleyza/Dallas,0.000959
173,Anastasia,0.0009550000000000001
174,Cadence/Kaydence/Kadence,0.0009480000000000001
175,Gracelyn/Gracelynn,0.0009479999999999998
176,Remi/Remy,0.000942
177,Reese,0.00093
178,Shelby/Sylvia/Sylvie,0.000924
179,Paige,0.0009
180,Fiona,0.000892
181,Genevieve,0.000883
182,Nicole,0.0008820000000000001
183,Mckenzie,0.000877
184,Eloise,0.0008640000000000001
185,Brooke,0.000859
186,Emmalyn/Emmeline/Emmalynn/Emmaline,0.000858
187,Londyn,0.0008560000000000001
188,Cassidy/Kassidy,0.000856
189,Rachel,0.0008550000000000001
190,Chelsea/Kelsey,0.000849
191,Makenna/Megan,0.0008489999999999999
192,Angelina,0.000828
193,Ainsley/Ansley/Ensley,0.000815
194,Presley,0.000813
195,Josie,0.000813
196,Kamryn/Camryn,0.000813
197,Sage/Saige,0.0008079999999999999
198,Vanessa,0.0008039999999999999
199,Elsie/Elsa,0.000802
200,Parker,0.000791
201,Braelynn/Braelyn,0.0007769999999999999
202,Rowan,0.000766
203,Selah/Zaylee/Celia,0.0007559999999999999
204,Summer,0.0007469999999999999
205,Christina/Christine/Kristina,0.00074
206,Sawyer,0.000737
207,Kendall,0.000737
208,Destiny,0.000733
209,Dakota,0.000719
210,Rosalie,0.000715
211,Noelle,0.000714
212,Alivia,0.000708
213,Emersyn,0.000705
214,Lola,0.000705
215,Georgia,0.000697
216,Kayleigh/Kyleigh,0.0006969999999999999
217,June,0.000688
218,Lexi/Lexie,0.000686
219,Maggie,0.0006799999999999999
220,Jessica,0.000679
221,Ashlyn/Ashlynn,0.0006789999999999999
222,Samara/Samira,0.000674
223,Hope,0.000668
224,Lorelei/Lorelai,0.000663
225,Mckenna,0.000663
226,Kaitlyn/Kathleen,0.000662
227,Blakely,0.000653
228,Ruth,0.0006389999999999999
229,Ariyah/Ariya,0.000638
230,Maliyah/Malaya,0.0006370000000000001
231,Lucille,0.000637
232,Evangeline,0.000633
233,Thea,0.00063
234,Blake,0.000629
235,Winter/Wynter,0.000628
236,River,0.000625
237,Giselle,0.0006230000000000001
238,Adelaide,0.000616
239,Vera,0.000615
240,Leia,0.0006129999999999999
241,Stephanie,0.000601
242,Karina/Karen,0.0005920000000000001
243,Frances/Princess,0.000587
244,Logan,0.000586
245,Jessie/Jaycee/Jessa,0.000582
246,Ophelia/Opal,0.000575
247,Paris,0.000575
248,Skye/Sky,0.0005729999999999999
249,Freya,0.000571
250,Elliott/Elliot,0.00057
251,Lyric,0.0005639999999999999
252,Jennifer,0.000557
253,Juniper,0.000553
254,Alessandra,0.000549
255,Fatima,0.000549
256,Phoebe,0.00054
257,Nina,0.000539
258,Aspen,0.0005269999999999999
259,April/Abril,0.000526
260,Joy,0.0005099999999999999
261,Amanda,0.000509
262,Laura,0.000504
263,Carter/Karter,0.000503
264,Jazlyn/Jazlynn,0.0005
265,Miranda,0.0004980000000000001
266,Felicity,0.0004969999999999999
267,Oakley/Oaklee,0.000496
268,Jacqueline,0.000491
