,boyname,boyfreq
1,Ethan/Aiden/Ayden/Hayden/Aidan/Edwin/Aden/Adan/Eden/Aaden/Aydin/Aydan/Haiden,0.020981
2,Jackson/Jaxon,0.009968000000000001
3,Noah/Noe,0.009831999999999999
4,Liam,0.009006
5,Mason/Mayson/Maison,0.008425999999999998
6,Jacob/Jakob/Jacoby,0.008279
7,William,0.007798
8,Kayden/Kaiden/Kaden/Caden/Cayden/Caiden/Kaeden,0.007402
9,Jayden/Jaden/Jaiden,0.007304999999999999
10,James,0.007266
11,John/Jonah/Johnny/Jon,0.007241
12,Michael/Micheal,0.007205
13,Alexander,0.00713
14,Elijah/Alijah,0.0069949999999999995
15,Jace/Jayce/Jesse/Jase/Jasiah/Jessie,0.006751
16,Luke/Luca/Luka/Lucca,0.006744
17,Lucas/Lukas,0.006732
18,Benjamin,0.0067150000000000005
19,Daniel,0.00662
20,Matthew/Mathew,0.006555
21,Carter/Karter,0.006403000000000001
22,Logan,0.006332
23,Josiah/Jose/Joziah,0.005951999999999999
24,David,0.0057799999999999995
25,Oliver,0.005713
26,Easton/Weston/Ashton,0.005664
27,Grayson/Greyson,0.005640999999999999
28,Joseph,0.005631000000000001
29,Andrew/Andre,0.005602
30,Caleb/Kaleb,0.005551
31,Joshua/Josue,0.005464
32,Gavin/Kevin,0.005371000000000001
33,Gabriel,0.005328
34,Samuel,0.005326
35,Wyatt/Wade/Eddie/Heath,0.005319
36,Isaac/Issac/Hezekiah,0.0053170000000000005
37,Anthony/Anton,0.005317
38,Dylan/Dilan,0.005155
39,Christopher/Kristopher/Cristopher,0.005141000000000001
40,Jack/Jake,0.0051069999999999996
41,Henry,0.004986
42,Christian/Cristian/Kristian,0.004862
43,Sebastian,0.004715
44,Owen,0.004704
45,Jeremiah/Jeremy,0.004495
46,Chase/Cash/Kash/Case/Casey/Kase/Chace,0.004470999999999999
47,Nicholas/Nicolas/Nikolas/Nickolas,0.004445
48,Evan/Ivan,0.004386
49,Ryan/Rene,0.004313999999999999
50,Jonathan/Johnathan,0.0043040000000000005
51,Eli/Ali/Willie/Will,0.0043
52,Nathan,0.00421
53,Julian/Julien,0.004154
54,Hunter,0.004083
55,Levi,0.004071
56,Cameron/Kameron,0.0040420000000000005
57,Isaiah/Izaiah,0.003992
58,Landon,0.003887
59,Connor/Conor/Konnor,0.0037500000000000007
60,Brayden/Braden/Braeden/Braiden,0.0037020000000000004
61,Thomas/Tomas,0.0036899999999999997
62,Aaron/Aron,0.0036720000000000004
63,Dominic/Dominick/Dominik,0.0036109999999999996
64,Mateo/Matteo,0.0035250000000000004
65,Charles,0.0035229999999999997
66,Sean/Zane/Shane/Shawn/Zayne/Zayn/Zain,0.0034620000000000002
67,Colton/Kolton,0.003456
68,Adrian/Adrien,0.003327
69,Jordan/Jordyn,0.003194
